FECHA (YYMMDD);HORA (HHMM);;
180204;2100;15,9;
180204;2200;14,7;
180204;2300;13,8;
180205;0000;13,2;
180205;0100;12,7;
180205;0200;12,4;
180205;0300;11,9;
180205;0400;11,5;
180205;0500;10,9;
180205;0600;10,8;
180205;0700;13,8;
180205;0800;18;
180205;0900;20,2;
180205;1000;22,9;
180205;1100;25,5;
180205;1200;27,9;
180205;1300;29,9;
180205;1400;31,2;
180205;1500;31,4;
180205;1600;29,2;
180205;1700;26,2;
180205;1800;24,3;
180205;1900;21,6;
180205;2000;18,7;
180205;2100;16,3;
180205;2200;15,4;
180205;2300;15,5;
180206;0000;15,7;
180206;0100;15,8;
180206;0200;15,7;
180206;0300;15,3;
180206;0400;15,2;
180206;0500;15,1;
180206;0600;15,5;
180206;0700;16,2;
180206;0800;18;
180206;0900;19,9;
180206;1000;21,3;
180206;1100;20,5;
180206;1200;18;
180206;1300;17;
180206;1400;18,3;
180206;1500;20,4;
180206;1600;20;
180206;1700;20,3;
180206;1800;19,3;
180206;1900;17,4;
180206;2000;15,8;
180206;2100;14,7;
180206;2200;13,4;
180206;2300;12,8;
180207;0000;12;
180207;0100;11;
180207;0200;10,8;
180207;0300;10,7;
180207;0400;11;
180207;0500;10,8;
180207;0600;10,6;
180207;0700;10,9;
180207;0800;12,4;
180207;0900;16,5;
180207;1000;19,1;
180207;1100;21,4;
180207;1200;22,9;
180207;1300;24;
180207;1400;24,8;
180207;1500;24,6;
180207;1600;24,1;
180207;1700;22,5;
180207;1800;20,2;
180207;1900;18,1;
180207;2000;16,7;
180207;2100;15,6;
180207;2200;14,7;
180207;2300;14,1;
180208;0000;13,9;
180208;0100;14,3;
180208;0200;14,6;
180208;0300;14,1;
180208;0400;14,6;
180208;0500;15,1;
180208;0600;14;
180208;0700;14,6;
180208;0800;16,6;
180208;0900;18,1;
180208;1000;16,6;
180208;1100;19,1;
180208;1200;19,1;
180208;1300;19,4;
180208;1400;20;
180208;1500;19,3;
180208;1600;19;
180208;1700;18,6;
180208;1800;17,8;
180208;1900;16,2;
180208;2000;15,1;
180208;2100;12,5;
180208;2200;12,1;
180208;2300;12,9;
180209;0000;12,1;
180209;0100;10,7;
180209;0200;9;
180209;0300;9;
180209;0400;8,8;
180209;0500;8;
180209;0600;7,5;
180209;0700;9,60001;
180209;0800;13,4;
180209;0900;15,1;
180209;1000;16,2;
180209;1100;16,5;
180209;1200;16,9;
180209;1300;17,2;
180209;1400;18,2;
180209;1500;18,6;
180209;1600;18,4;
180209;1700;17,9;
180209;1800;17,2;
180209;1900;15,2;
180209;2000;13,6;
180209;2100;12,5;
180209;2200;11,3;
180209;2300;10,2;
180210;0000;9,2;
180210;0100;8,10001;
180210;0200;7,6;
180210;0300;7;
180210;0400;6,4;
180210;0500;6,6;
180210;0600;6,5;
180210;0700;7,7;
180210;0800;11;
180210;0900;14,5;
180210;1000;16,2;
180210;1100;17,7;
180210;1200;18,7;
180210;1300;20,2;
180210;1400;20,9;
180210;1500;21,8;
180210;1600;20,7;
180210;1700;19,2;
180210;1800;17,8;
180210;1900;15,9;
180210;2000;13,9;
180210;2100;12,2;
180210;2200;11,1;
180210;2300;10,1;
180211;0000;8,7;
180211;0100;7,5;
180211;0200;7;
180211;0300;6,7;
180211;0400;6,3;
180211;0500;5,8;
180211;0600;5,4;
180211;0700;8,3;
180211;0800;11,8;
180211;0900;15;
180211;1000;18,6;
180211;1100;21,3;
180211;1200;24;
180211;1300;26,1;
180211;1400;26,5;
180211;1500;26,7;
180211;1600;26,3;
180211;1700;25,2;
180211;1800;22,6;
180211;1900;19;
180211;2000;15,5;
180211;2100;13,7;
180211;2200;12,4;
180211;2300;11,6;
180212;0000;10,6;
180212;0100;9,5;
180212;0200;9,3;
180212;0300;9,2;
180212;0400;8,7;
180212;0500;8;
180212;0600;7,6;
180212;0700;9,8;
180212;0800;13,4;
180212;0900;16,4;
180212;1000;19;
180212;1100;22,1;
180212;1200;24,7;
180212;1300;27;
180212;1400;27,8;
180212;1500;27,6;
180212;1600;27,5;
180212;1700;26,5;
180212;1800;24,1;
180212;1900;20,5;
180212;2000;17;
180212;2100;15;
180212;2200;13,5;
180212;2300;12,6;
180213;0000;11,8;
180213;0100;11,3;
180213;0200;11;
180213;0300;10,6;
180213;0400;10,3;
180213;0500;9,39999;
180213;0600;8,8;
180213;0700;11,1;
180213;0800;15;
180213;0900;17,3;
180213;1000;19,7;
180213;1100;22,6;
180213;1200;24,5;
180213;1300;27,1;
180213;1400;29,2;
180213;1500;29,7;
180213;1600;27,1;
180213;1700;23,9;
180213;1800;21,7;
180213;1900;19,1;
180213;2000;16,4;
180213;2100;13,5;
180213;2200;13;
180213;2300;12,4;
