FECHA (YYMMDD);HORA (HHMM);
180130;600;1,2
180130;700;1,7
180130;800;1,4
180130;900;2,4
180130;1000;2,8
180130;1100;2,6
180130;1200;2,3
180130;1300;3
180130;1400;3,1
180130;1500;3,3
180130;1600;3,7
180130;1700;4,9
180130;1800;4,6
180130;1900;4
180130;2000;1,7
180130;2100;0,9
180130;2200;0,6
180130;2300;0,7
180131;0;0,7
180131;100;0,9
180131;200;1,7
180131;300;0,7
180131;400;1,4
180131;500;2,2
180131;600;2,3
180131;700;2,7
180131;800;2,7
180131;900;3
180131;1000;3,4
180131;1100;3,4
180131;1200;3,5
180131;1300;3,6
180131;1400;3,5
180131;1500;4,7
180131;1600;4,5
180131;1700;4,5
180131;1800;3,9
180131;1900;3,7
180131;2000;2,3
180131;2100;1,8
180131;2200;1,1
180131;2300;1,2
180201;0;1,2
180201;100;1,2
180201;200;0,8
180201;300;0,9
180201;400;1,3
180201;500;0,4
180201;600;0,4
180201;700;1,1
180201;800;2,1
180201;900;2,7
180201;1000;3,2
180201;1100;3,4
180201;1200;4,1
180201;1300;3,9
180201;1400;4,7
180201;1500;4,1
180201;1600;4,3
180201;1700;4,5
180201;1800;3,3
180201;1900;2,4
180201;2000;1,5
180201;2100;1
180201;2200;0,7
180201;2300;0,7
180202;0;0,6
180202;100;0,7
180202;200;0,7
180202;300;0,3
180202;400;0,6
180202;500;0,2
180202;600;0,8
180202;700;1,1
180202;800;0,9
180202;900;0,9
180202;1000;1,2
180202;1100;1,6
180202;1200;1,8
180202;1300;2,8
180202;1400;3,2
180202;1500;3,9
180202;1600;3,5
180202;1700;3,4
180202;1800;3,4
180202;1900;2,8
180202;2000;2,3
180202;2100;2,1
180202;2200;2
180202;2300;1,8
180203;0;1,5
180203;100;1,2
180203;200;0,8
180203;300;1,2
180203;400;0,8
180203;500;0,8
180203;600;0,5
180203;700;0,6
180203;800;1
180203;900;1,3
180203;1000;1,7
180203;1100;1,5
180203;1200;1,4
180203;1300;2,1
180203;1400;2,5
180203;1500;2,6
180203;1600;3
180203;1700;4
180203;1800;3,1
180203;1900;2,4
180203;2000;1,7
180203;2100;1,6
180203;2200;1,2
180203;2300;0,9
180204;0;1,2
180204;100;1,3
180204;200;0,7
180204;300;0,3
180204;400;0,5
180204;500;0,5
180204;600;0,5
180204;700;0,7
180204;800;0,6
180204;900;1
180204;1000;1,7
180204;1100;2,4
180204;1200;2,7
180204;1300;2,9
180204;1400;3,2
180204;1500;3,4
180204;1600;3,7
180204;1700;3,8
180204;1800;3,4
180204;1900;2,9
180204;2000;1,6
180204;2100;1,3
180204;2200;0,9
180204;2300;0,6
180205;0;0,5
180205;100;0,4
180205;200;0,6
180205;300;0,5
180205;400;0,4
180205;500;0,5
180205;600;0,6
180205;700;0,5
180205;800;1
180205;900;1,8
180205;1000;1,6
180205;1100;1,5
180205;1200;1,4
180205;1300;1,7
180205;1400;2,3
180205;1500;3,2
180205;1600;3,8
180205;1700;3,2
180205;1800;3,7
180205;1900;2,6
180205;2000;1,7
180205;2100;2
180205;2200;2,1
180205;2300;2,3
180206;0;1,8
180206;100;1,7
180206;200;1,2
180206;300;0,6
180206;400;0,9
180206;500;0,4
180206;600;0,2
180206;700;0,4
180206;800;0,9
180206;900;1,4
180206;1000;1,1
180206;1100;2,6
180206;1200;4,3
180206;1300;4
180206;1400;3
180206;1500;3,4
180206;1600;4,4
180206;1700;3,7
180206;1800;4,1
180206;1900;3,5
180206;2000;2,2
180206;2100;1,5
180206;2200;0,7
180206;2300;0,7
180207;0;0,6
180207;100;0,2
180207;200;0,4
180207;300;0,3
180207;400;0,6
180207;500;0,4
180207;600;0,3
180207;700;0,8
180207;800;0,7
180207;900;1,4
180207;1000;2,1
180207;1100;3,2
180207;1200;2,8
180207;1300;2,8
180207;1400;3,1
